50 15
0 1 76.84592
0 2 104.67149
0 3 62.92731
0 4 70.20603
0 5 40.52408
0 6 76.19289
0 7 63.20605
0 8 54.99142
0 9 81.94504
0 10 97.06171
0 11 86.98277
0 12 78.12029
0 13 86.99136
0 14 67.74152
0 15 57.42242
0 16 77.60130
0 17 97.31192
0 18 63.77026
0 19 51.55463
0 20 88.19005
0 21 50.36540
0 22 43.03478
0 23 68.96042
0 24 118.43674
0 25 67.41785
0 26 67.54382
0 27 41.83623
0 28 64.93346
0 29 99.81316
0 30 77.02378
0 31 48.58203
0 32 91.39815
0 33 103.34455
0 34 36.90626
0 35 83.39914
0 36 66.34373
0 37 89.72112
0 38 70.95279
0 39 35.45418
0 40 78.10339
0 41 102.79498
0 42 43.91906
0 43 63.57651
0 44 70.87666
0 45 82.84329
0 46 61.30233
0 47 102.72709
0 48 62.74050
0 49 46.03205
1 2 58.57484
1 3 38.30517
1 4 57.33374
1 5 86.42097
1 6 52.28682
1 7 98.06823
1 8 73.35883
1 9 79.77390
1 10 42.89991
1 11 69.30473
1 12 93.63606
1 13 70.44514
1 14 100.26756
1 15 88.52669
1 16 91.74070
1 17 84.98160
1 18 56.73670
1 19 69.20350
1 20 68.52416
1 21 101.49150
1 22 49.06052
1 23 49.19513
1 24 63.51144
1 25 63.06701
1 26 75.47803
1 27 89.77168
1 28 49.00871
1 29 77.31285
1 30 61.69837
1 31 69.79947
1 32 28.30456
1 33 61.05747
1 34 63.02069
1 35 66.85935
1 36 68.68221
1 37 18.10313
1 38 67.89999
1 39 84.07458
1 40 61.12736
1 41 65.16995
1 42 70.52631
1 43 90.25694
1 44 77.40830
1 45 80.61707
1 46 83.49840
1 47 88.78431
1 48 45.88423
1 49 64.22514
2 3 63.93044
2 4 110.68440
2 5 122.00710
2 6 81.05241
2 7 147.25340
2 8 94.98435
2 9 106.69276
2 10 98.01573
2 11 38.97346
2 12 127.95972
2 13 99.56692
2 14 135.84645
2 15 96.15900
2 16 120.02547
2 17 131.04785
2 18 56.31611
2 19 92.42727
2 20 92.31599
2 21 144.69946
2 22 70.48459
2 23 66.71106
2 24 112.44022
2 25 86.42864
2 26 94.18553
2 27 119.00372
2 28 103.78415
2 29 127.65063
2 30 83.19609
2 31 77.39493
2 32 57.08158
2 33 101.10190
2 34 99.11596
2 35 110.99135
2 36 84.75474
2 37 64.13895
2 38 120.46932
2 39 102.55482
2 40 57.72495
2 41 121.63815
2 42 101.52837
2 43 140.91821
2 44 99.31783
2 45 125.12846
2 46 115.31375
2 47 135.72067
2 48 58.35684
2 49 99.91328
3 4 65.29662
3 5 85.84045
3 6 78.63314
3 7 92.22257
3 8 46.21401
3 9 47.59657
3 10 62.97863
3 11 64.02898
3 12 107.59125
3 13 45.25689
3 14 76.10529
3 15 55.80993
3 16 107.37054
3 17 102.05647
3 18 62.95610
3 19 53.49971
3 20 60.37083
3 21 92.40402
3 22 22.16026
3 23 66.72243
3 24 93.03817
3 25 57.92828
3 26 85.54381
3 27 85.24532
3 28 64.10122
3 29 96.65575
3 30 36.47697
3 31 40.43031
3 32 35.11379
3 33 77.53998
3 34 65.31622
3 35 82.77346
3 36 30.63681
3 37 41.71334
3 38 68.82652
3 39 57.50980
3 40 45.55844
3 41 86.55043
3 42 46.11831
3 43 83.91497
3 44 49.73479
3 45 86.24769
3 46 97.07400
3 47 85.48055
3 48 52.41692
3 49 48.44308
4 5 59.91081
4 6 76.38293
4 7 63.32360
4 8 88.25966
4 9 79.30434
4 10 48.66435
4 11 105.38390
4 12 96.79391
4 13 83.67213
4 14 88.51075
4 15 92.16580
4 16 99.39900
4 17 88.27316
4 18 86.04604
4 19 59.03241
4 20 98.93582
4 21 73.53884
4 22 67.09737
4 23 70.30082
4 24 57.82212
4 25 55.86664
4 26 99.06060
4 27 66.75001
4 28 40.70243
4 29 78.38714
4 30 87.52219
4 31 82.20544
4 32 67.59453
4 33 88.09902
4 34 47.70556
4 35 79.05757
4 36 83.02090
4 37 59.29203
4 38 53.55730
4 39 90.06197
4 40 83.28460
4 41 37.70194
4 42 74.04568
4 43 48.70590
4 44 93.80319
4 45 33.60245
4 46 80.58720
4 47 47.03041
4 48 68.83910
4 49 70.35590
5 6 75.10866
5 7 64.81077
5 8 91.59332
5 9 105.32912
5 10 100.15345
5 11 102.07669
5 12 79.41197
5 13 113.50332
5 14 95.02065
5 15 83.95428
5 16 76.69994
5 17 102.49902
5 18 73.06860
5 19 55.88071
5 20 117.41477
5 21 57.44294
5 22 70.78115
5 23 65.65770
5 24 107.32819
5 25 63.53909
5 26 82.69485
5 27 17.00131
5 28 66.44110
5 29 102.96535
5 30 107.85225
5 31 75.86731
5 32 103.75867
5 33 118.15121
5 34 24.12534
5 35 93.57859
5 36 96.47507
5 37 98.60805
5 38 81.25629
5 39 75.48904
5 40 91.49674
5 41 91.55500
5 42 77.43069
5 43 61.91959
5 44 105.55576
5 45 60.02090
5 46 49.88379
5 47 95.53507
5 48 66.99066
5 49 76.07169
6 7 101.69019
6 8 95.02119
6 9 120.92041
6 10 77.95317
6 11 84.03769
6 12 57.15383
6 13 111.46675
6 14 120.71098
6 15 112.32057
6 16 47.88948
6 17 72.82696
6 18 49.31929
6 19 89.03336
6 20 91.66641
6 21 99.78214
6 22 74.42971
6 23 38.81651
6 24 82.42207
6 25 84.41381
