150 15
0 1 147.67740
0 2 139.32181
0 3 197.03377
0 4 136.31519
0 5 204.71675
0 6 165.93930
0 7 157.85754
0 8 166.01805
0 9 179.60530
0 10 218.50098
0 11 194.78061
0 12 166.66301
0 13 182.98215
0 14 161.47505
0 15 165.38084
0 16 155.80576
0 17 164.49103
0 18 216.58786
0 19 209.84746
0 20 201.48050
0 21 217.93066
0 22 155.21086
0 23 200.07848
0 24 173.25682
0 25 172.04135
0 26 204.32776
0 27 169.22002
0 28 181.74654
0 29 135.14867
0 30 221.80205
0 31 158.05383
0 32 179.30717
0 33 184.87961
0 34 183.47466
0 35 185.61758
0 36 177.12311
0 37 207.00258
0 38 171.67905
0 39 171.86540
0 40 135.81366
0 41 219.86142
0 42 205.25053
0 43 177.92387
0 44 179.57933
0 45 207.06065
0 46 212.22635
0 47 129.18146
0 48 186.63344
0 49 160.59212
0 50 156.01410
0 51 187.25568
0 52 224.62892
0 53 173.37444
0 54 185.75595
0 55 176.92125
0 56 176.86958
0 57 223.58923
0 58 191.66667
0 59 160.97282
0 60 212.49321
0 61 162.10931
0 62 214.76515
0 63 196.28938
0 64 195.88802
0 65 205.65770
0 66 202.24072
0 67 155.72148
0 68 183.73807
0 69 155.16269
0 70 183.41133
0 71 188.62160
0 72 236.37466
0 73 180.51563
0 74 211.97154
0 75 143.25415
0 76 182.16980
0 77 185.07829
0 78 181.75517
0 79 197.38968
0 80 201.50658
0 81 136.36722
0 82 140.74243
0 83 149.17159
0 84 205.94038
0 85 194.98854
0 86 210.41267
0 87 169.65634
0 88 155.33720
0 89 175.69690
0 90 207.32295
0 91 195.91261
0 92 174.37566
0 93 126.35421
0 94 191.62004
0 95 191.34782
0 96 175.98375
0 97 191.36780
0 98 199.45184
0 99 156.93286
0 100 204.06944
0 101 170.95216
0 102 198.39241
0 103 164.93748
0 104 202.75078
0 105 203.96324
0 106 196.61528
0 107 215.54761
0 108 167.63092
0 109 157.71347
0 110 194.28664
0 111 214.80882
0 112 143.77489
0 113 222.10239
0 114 202.91580
0 115 172.27164
